,tweet_id,timestamp,source,expanded_urls,rating_numerator,rating_denominator,name,year,jpg_url,img_num,text_url,text_tweet,dog_stage,retweet_count,favorite_count
0,892420643555336193,2017-08-01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,Phineas,2017,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,https://t.co/MgUWQ76dJU,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,,8853,39467
1,892177421306343426,2017-08-01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,Tilly,2017,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",,6514,33819
2,891815181378084864,2017-07-31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,Archie,2017,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,,4328,25461
3,891689557279858688,2017-07-30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,Darla,2017,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10,,8964,42908
4,891327558926688256,2017-07-29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10.0,Franklin,2017,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10",,9774,41048
5,891087950875897856,2017-07-29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,,2017,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,https://t.co/kQ04fDDRmh,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10,,3261,20562
6,890971913173991426,2017-07-28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10.0,Jax,2017,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,https://t.co/Zr4hWfAs1H,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10,,2158,12041
7,890729181411237888,2017-07-28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10.0,,2017,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,https://t.co/v0nONBcwxq,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,,16716,56848
8,890609185150312448,2017-07-27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,Zoey,2017,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10,,4429,28226
9,890240255349198849,2017-07-26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,Cassie,2017,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10,doggo,7711,32467
